Pest Name,Most Commonly Used Pesticides
adristyrannus,"acephate, malathion, permethrin"
aleurocanthus spiniferus,"imidacloprid, acetamiprid, chlorpyrifos"
alfalfa plant bug,"imidacloprid, lambda-cyhalothrin, chlorpyrifos"
alfalfa seed chalcid,"azadirachtin, imidacloprid, spinosad"
alfalfa weevil,"chlorpyrifos, cyfluthrin, carbaryl"
ampelophaga,"chlorpyrifos, methoxyfenozide, spinosad"
aphids,"imidacloprid, acetamiprid, thiamethoxam"
aphis citricola vander goot,"imidacloprid, thiacloprid, thiamethoxam"
apolygus lucorum,"lambda-cyhalothrin, chlorpyrifos, imidacloprid"
army worm,"chlorpyrifos, lambda-cyhalothrin, bifenthrin"
asiatic rice borer,"emamectin benzoate, fipronil, chlorantraniliprole"
bactrocera tsuneonis,"spinosad, malathion, dimethoate"
beet army worm,"bacillus thuringiensis, methoxyfenozide, spinosad"
beet fly,"carbaryl, methomyl, dimethoate"
beet spot flies,"dimethoate, chlorpyrifos, carbaryl"
beet weevil,"chlorpyrifos, carbaryl, diazinon"
beetle,"imidacloprid, carbaryl, malathion, cypermethrin"
bird cherry-oataphid,"imidacloprid, thiamethoxam, dinotefuran, acetamiprid"
black cutworm,"chlorantraniliprole, flubendiamide, emamectin benzoate"
black hairy,"carbaryl, malathion, permethrin, cyfluthrin"
blister beetle,"carbaryl, malathion, pyrethrin, permethrin"
bollworm,"chlorantraniliprole, emamectin benzoate, spinosad, indoxacarb"
brevipoalpus lewisi mcgregor,"abamectin, bifenazate, fenpyroximate, spiromesifen"
brown plant hopper,"imidacloprid, chlorpyrifos, buprofezin, thiamethoxam"
cabbage army worm,"bacillus thuringiensis, spinosad, methomyl, chlorantraniliprole"
cerodonta denticornis,"imidacloprid, thiacloprid, thiamethoxam, dinotefuran"
ceroplastes rubens,"imidacloprid, acetamiprid, buprofezin, thiamethoxam"
chlumetia transversa,"imidacloprid, chlorpyrifos, cypermethrin, acetamiprid"
chrysomphalus aonidum,"imidacloprid, abamectin, acetamiprid, buprofezin"
cicadella viridis,"imidacloprid, thiacloprid, dinotefuran, thiamethoxam"
cicadellidae,"imidacloprid, thiacloprid, dinotefuran, thiamethoxam"
colomerus vitis,"bifenazate, fenpyroximate, abamectin, hexythiazox"
corn borer,"chlorpyrifos, emamectin benzoate, lambda-cyhalothrin, spinosad"
corn earworm,"bacillus thuringiensis, carbaryl, cypermethrin"
cutworm,"chlorpyrifos, diazinon, methomyl"
dacus dorsalis(hendel),"malathion, diazinon, fenthion"
dasineura sp,"imidacloprid, acephate, chlorpyrifos"
deporaus marginatus pascoe,"carbaryl, chlorpyrifos, imidacloprid"
english grain aphid,"imidacloprid, lambda-cyhalothrin, pyrethroids"
erythroneura apicalis,"carbaryl, diazinon, malathion"
fall armyworm,"bacillus thuringiensis, chlorantraniliprole, spinosad"
field cricket,"carbaryl, permethrin, cyfluthrin"
flax budworm,"chlorpyrifos, methomyl, pyrethroids"
flea beetle,"imidacloprid, thiamethoxam, pyrethroids"
fruit piercing moth,"carbaryl, malathion, pyrethroids"
gall fly,"chlorpyrifos, malathion, methomyl"
grain spreader thrips,"acephate, imidacloprid, thiamethoxam"
grasshopper,"carbaryl, malathion, pyrethroids"
green bug,"carbaryl, malathion, pyrethroids"
grub,"chlorpyrifos, imidacloprid, thiamethoxam"
icerya purchasi maskell,"imidacloprid, dinotefuran, acetamiprid"
indigo caterpillar,"carbaryl, imidacloprid, acephate"
jute aphid,"thiamethoxam, imidacloprid, clothianidin"
jute hairy,"imidacloprid, chlorpyrifos, lambda-cyhalothrin"
jute red mite,"bifenthrin, spiromesifen, fenpropathrin"
jute semilooper,"chlorpyrifos, emamectin benzoate, indoxacarb"
jute stem girdler,"chlorpyrifos, carbofuran, phorate"
jute stem weevil,"carbaryl, chlorpyrifos, lambda-cyhalothrin"
jute stick insect,"imidacloprid, thiamethoxam, chlorpyrifos"
large cutworm,"bacillus thuringiensis, chlorpyrifos, lambda-cyhalothrin"
lawana imitata melichar,"imidacloprid, buprofezin, thiamethoxam"
leaf beetle,"chlorpyrifos, imidacloprid, acephate"
legume blister beetle,"carbaryl, chlorpyrifos, lambda-cyhalothrin"
limacodidae,"bacillus thuringiensis, chlorpyrifos, carbaryl"
locust,"chlorpyrifos, deltamethrin, fenitrothion"
locustoidea,"chlorpyrifos, deltamethrin, fenitrothion"
longlegged spider mite,"abamectin, bifenazate, chlorfenapyr"
lycorma delicatula,"dinotefuran, imidacloprid, thiamethoxam"
lytta polita,"carbaryl, diazinon, malathion"
mango flat beak leafhopper,"imidacloprid, thiamethoxam, dinotefuran"
meadow moth,"bacillus thuringiensis, chlorpyrifos, lambda-cyhalothrin"
mealybug,"imidacloprid, clothianidin, thiamethoxam"
miridae,"buprofezin, clothianidin, imidacloprid"
mites,"abamectin, bifenazate, chlorfenapyr"
mole cricket,"bifenthrin, carbaryl, imidacloprid"
nipaecoccus vastalor,"acetamiprid, imidacloprid, dinotefuran"
odontothrips loti,"abamectin, emamectin benzoate, spinosad"
oides decempunctata,"abamectin, chlorfenapyr, pyridaben"
paddy stem maggot,"carbofuran, chlorpyrifos, diazinon"
panonchus citri mcgregor,"bifenazate, spirodiclofen, pyridaben"
papilio xuthus,"bacillus thuringiensis, spinosad, methomyl"
parathrene regalis,"bacillus thuringiensis, chlorpyrifos, imidacloprid"
parlatoria zizyphus lucus,"chlorpyrifos, imidacloprid, spirotetramat"
peach borer,"chlorpyrifos, imidacloprid, lambda-cyhalothrin"
penthaleus major,"chlorpyrifos, fenpropathrin, lambda-cyhalothrin"
phyllocnistis citrella stainton,"abamectin, emamectin benzoate, spinosad"
phyllocoptes oleiverus ashmead,"bifenazate, abamectin, spiromesifen"
pieris canidia,"bacillus thuringiensis, cypermethrin, neem oil"
pod borer,"emamectin benzoate, indoxacarb, spinosad"
polyphagotars onemus latus,"acetamiprid, bifenazate, spiromesifen"
potosiabre vitarsis,"chlorantraniliprole, emamectin benzoate, spinosad"
prodenia litura,"chlorantraniliprole, emamectin benzoate, spinosad"
pseudococcus comstocki kuwana,"acetamiprid, bifenthrin, imidacloprid"
red spider,"abamectin, bifenazate, spiromesifen"
rhytidodera bowrinii white,"acephate, imidacloprid, methomyl"
rice gall midge,"cartap hydrochloride, chlorpyrifos, fipronil"
rice leaf caterpillar,"cartap hydrochloride, chlorantraniliprole, emamectin benzoate"
rice leaf roller,"chlorpyrifos, cypermethrin, indoxacarb"
rice leafhopper,"imidacloprid, thiamethoxam, chlorpyrifos"
rice shell pest,"cartap, methomyl, carbaryl"
rice stemfly,"neonicotinoids, fipronil, imidacloprid"
rice water weevil,"carbofuran, chlorpyrifos, imidacloprid"
salurnis marginella guerr,"methomyl, chlorpyrifos, carbaryl"
sawfly,"malathion, carbaryl, cypermethrin"
scirtothrips dorsalis hood,"spinosad, abamectin, imidacloprid"
sericaorient alismots chulsky,"thiamethoxam, clothianidin, imidacloprid"
small brown plant hopper,"imidacloprid, chlorpyrifos, acephate"
spilosoma obliqua,"bacillus thuringiensis, cypermethrin, chlorantraniliprole"
stem borer,"neonicotinoids, pyrethroids, chlorantraniliprole"
sternochetus frigidus,"chlorpyrifos, carbaryl, imidacloprid"
tarnished plant bug,"imidacloprid, lambda-cyhalothrin, methomyl"
termite,"chlorpyrifos, imidacloprid, fipronil"
termite odontotermes (rambur),"chlorpyrifos, imidacloprid, fipronil"
tetradacus c bactrocera minax,"malathion, spinosad, imidacloprid"
therioaphis maculata buckton,"imidacloprid, acetamiprid, thiamethoxam"
thrips,"spinosad, abamectin, imidacloprid"
toxoptera aurantii,"imidacloprid, thiamethoxam, chlorpyrifos"
toxoptera citricidus,"imidacloprid, thiamethoxam, chlorpyrifos"
trialeurodes vaporariorum,"neonicotinoids, pyrethroids, imidacloprid"
unaspis yanonensis,"imidacloprid, chlorpyrifos, abamectin"
viteus vitifoliae,"pyrethroids, organophosphates, neonicotinoids"
wheat blossom midge,"chlorpyrifos, imidacloprid, lambda-cyhalothrin"
wheat phloeothrips,"imidacloprid, thiamethoxam, chlorpyrifos"
wheat sawfly,"chlorpyrifos, acetamiprid, imidacloprid"
white backed plant hopper,"imidacloprid, thiamethoxam, chlorpyrifos"
white margined moth,"chlorantraniliprole, spinosad, bacillus thuringiensis"
whitefly,"imidacloprid, thiamethoxam, pyrethroids"
wireworm,"chlorpyrifos, imidacloprid, fipronil"
xylotrechus,"methoxyfenozide, chlorpyrifos, fipronil"
yellow cutworm,"chlorpyrifos, methomyl, carbaryl"
yellow mite,"spiromesifen, abamectin, fenazaquin"
yellow rice borer,"chlorpyrifos, neonicotinoids, fipronil"
